,sentence,gold
0,रागआदिरोगान् सततअनुषक्तान् अशेषकायप्रसृतान् अशेषान् औत्सुक्यमोहअरतिदान् जघान (यः) .,"{'tokens': ['रागआदिरोगान्', 'सततअनुषक्तान्', 'अशेषकायप्रसृतान्', 'अशेषान्', 'औत्सुक्यमोहअरतिदान्', 'जघान', '(यः)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'बहुव्रीहिः'}, {'span': ['2', '3'], 'label': 'कर्मधारयः'}, {'span': ['3', '20'], 'label': 'Comp_root'}, {'span': ['4', '5'], 'label': 'कर्मधारयः'}, {'span': ['5', '20'], 'label': 'Comp_root'}, {'span': ['6', '7'], 'label': 'नञ्-तत्पुरुषः'}, {'span': ['7', '8'], 'label': 'कर्मधारयः'}, {'span': ['8', '9'], 'label': 'सप्तमी-तत्पुरुषः'}, {'span': ['9', '20'], 'label': 'Comp_root'}, {'span': ['10', '11'], 'label': 'अस्त्यर्थ-मध्यमपदलोपी(नञ्)-बहुव्रीहिः'}, {'span': ['11', '20'], 'label': 'Comp_root'}, {'span': ['12', '13'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['13', '14'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['14', '15'], 'label': 'नञ्-तत्पुरुषः'}, {'span': ['15', '16'], 'label': 'Comp_root'}, {'span': ['16', '20'], 'label': 'विशेषणम्'}, {'span': ['17', '20'], 'label': 'No_rel'}, {'span': ['18', '20'], 'label': 'No_rel'}, {'span': ['19', '20'], 'label': 'No_rel'}, {'span': ['20', '0'], 'label': 'root '}]}"
1,अपूर्ववैद्याय नमः अस्तु तस्मै .,"{'tokens': ['अपूर्ववैद्याय', 'नमः', 'अस्तु', 'तस्मै', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'अस्त्यर्थ-मध्यमपदलोपी(नञ्)-बहुव्रीहिः'}, {'span': ['2', '3'], 'label': 'कर्मधारयः'}, {'span': ['3', '8'], 'label': 'Comp_root'}, {'span': ['4', '8'], 'label': 'No_rel'}, {'span': ['5', '8'], 'label': 'No_rel'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
2,अथ अतः आयुष्कामीयम् अध्यायम् व्याख्यास्यामः .,"{'tokens': ['अथ', 'अतः', 'आयुष्कामीयम्', 'अध्यायम्', 'व्याख्यास्यामः', '.'], 'compounds': [{'span': ['1', '7'], 'label': 'No_rel'}, {'span': ['2', '7'], 'label': 'No_rel'}, {'span': ['3', '7'], 'label': 'No_rel'}, {'span': ['4', '7'], 'label': 'No_rel'}, {'span': ['5', '7'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'No_rel'}, {'span': ['7', '0'], 'label': 'root'}]}"
3,इति ह स्म आहुः आत्रेयआदयः महाऋषयः .,"{'tokens': ['इति', 'ह', 'स्म', 'आहुः', 'आत्रेयआदयः', 'महाऋषयः', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '10'], 'label': 'No_rel'}, {'span': ['3', '10'], 'label': 'No_rel'}, {'span': ['4', '10'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'बहुव्रीहिः'}, {'span': ['6', '10'], 'label': 'Comp_root'}, {'span': ['7', '8'], 'label': 'कर्मधारयः'}, {'span': ['8', '10'], 'label': 'Comp_root'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
4,आयुः कामयमानेन धर्मअर्थसुखसाधनम् आयुःवेदउपदेशेषु विधेयः परमआदरः .,"{'tokens': ['आयुः', 'कामयमानेन', 'धर्मअर्थसुखसाधनम्', 'आयुःवेदउपदेशेषु', 'विधेयः', 'परमआदरः', '.'], 'compounds': [{'span': ['1', '14'], 'label': 'No_rel'}, {'span': ['2', '14'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'द्वन्द्वः'}, {'span': ['4', '5'], 'label': 'द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['6', '14'], 'label': 'Comp_root'}, {'span': ['7', '8'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['8', '9'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['9', '14'], 'label': 'Comp_root'}, {'span': ['10', '14'], 'label': 'No_rel'}, {'span': ['11', '12'], 'label': 'कर्मधारयः'}, {'span': ['12', '14'], 'label': 'Comp_root'}, {'span': ['13', '14'], 'label': 'No_rel'}, {'span': ['14', '0'], 'label': 'root'}]}"
5,ब्रह्मा स्मृत्वा आयुषः वेदम् प्रजापतिम् अजिग्रहत् .,"{'tokens': ['ब्रह्मा', 'स्मृत्वा', 'आयुषः', 'वेदम्', 'प्रजापतिम्', 'अजिग्रहत्', '.'], 'compounds': [{'span': ['1', '8'], 'label': 'No_rel'}, {'span': ['2', '8'], 'label': 'No_rel'}, {'span': ['3', '8'], 'label': 'No_rel'}, {'span': ['4', '8'], 'label': 'No_rel'}, {'span': ['5', '8'], 'label': 'No_rel'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
6,सः अश्विनौ (अजिग्रहत्) .,"{'tokens': ['सः', 'अश्विनौ', '(अजिग्रहत्)', '.'], 'compounds': [{'span': ['1', '5'], 'label': 'No_rel'}, {'span': ['2', '5'], 'label': 'No_rel'}, {'span': ['3', '5'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'No_rel'}, {'span': ['5', '0'], 'label': 'root'}]}"
7,तौ सहस्रअक्षम् (अजिग्रहताम्) .,"{'tokens': ['तौ', 'सहस्रअक्षम्', '(अजिग्रहताम्)', '.'], 'compounds': [{'span': ['1', '6'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'षष्ठ्यर्थ-बहुव्रीहिः'}, {'span': ['3', '6'], 'label': 'Comp_root'}, {'span': ['4', '6'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'No_rel'}, {'span': ['6', '0'], 'label': 'root'}]}"
8,सः अत्रिपुत्रआदिकान् मुनीन् (अजिग्रहत्) .,"{'tokens': ['सः', 'अत्रिपुत्रआदिकान्', 'मुनीन्', '(अजिग्रहत्)', '.'], 'compounds': [{'span': ['1', '8'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['3', '4'], 'label': 'बहुव्रीहिः'}, {'span': ['4', '8'], 'label': 'Comp_root'}, {'span': ['5', '8'], 'label': 'No_rel'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
9,ते अग्निवेशआदिकान् (अजिग्रहन्) .,"{'tokens': ['ते', 'अग्निवेशआदिकान्', '(अजिग्रहन्)', '.'], 'compounds': [{'span': ['1', '6'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'बहुव्रीहिः'}, {'span': ['3', '6'], 'label': 'Comp_root'}, {'span': ['4', '6'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'No_rel'}, {'span': ['6', '0'], 'label': 'root'}]}"
