index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	अथ	1.1	अथ	अथ{अव्य}	अथ{अव्य}	सम्बन्धः,5.1	सम्बन्धः,8.1#सम्बन्धः,4.1#सम्बन्धः,3.2#सम्बन्धः,5.1	NA	ऐसा	ऐसा
2.1	अतः	2.1	अतः	अतः{अव्य}	अतः{अव्य}	सम्बन्धः,5.1	कार्य_द्योतकः,4.1#कार्य_द्योतकः,3.2#सम्बन्धः,5.1	NA	अतः	अतः
3.1	द्विविध-	3.1	द्विविध-उपक्रमणीयम्	द्विविध	द्विविध	कर्मधारयः,3.2	कर्मधारयः,3.2	CP	ऋतुचर्य-	ऋतुचर्य-
3.2	उपक्रमणीयम्	3.2	--	उपक्रमणीयम्{पुं;2;एक(उप_क्रमु;अनीयर्;भ्वादिः)}	उपक्रमणीयम्{पुं;2;एक(उप_क्रमु;अनीयर्;भ्वादिः)}	विशेषणम्,4.1	विशेषणम्,4.1	N2		
4.1	अध्यायम्	4.1	अध्यायम्	ध्यै1{कर्तरि;लङ्;उ;एक;परस्मैपदी;भ्वादिः}/अध्याय{पुं;2;एक(अधि_इ4;घञ्;अदादिः)}/अध्याय{नपुं;1;एक}/अध्याय{नपुं;2;एक}	अध्याय{पुं;2;एक(अधि_इ4;घञ्;अदादिः)}	कर्म,5.1	कर्म,5.1	N2	अध्याय	अध्याय
5.1	व्याख्यास्यामः	5.1	व्याख्यास्यामः	वि_आङ्_ख्या1{कर्तरि;लृट्;उ;बहु;परस्मैपदी;अदादिः}/वि_आङ्_चक्ष्1{कर्तरि{लृट्;उ;बहु;आत्मनेपदी;अदादिः}	वि_आङ्_ख्या1{कर्तरि;लृट्;उ;बहु;परस्मैपदी;अदादिः}	-	वाक्यकर्म,9.1	KP	वि_आङ्_ख्या1एगा	वि_आङ्_ख्या1एगा
6.1	इति	6.1	इति	इति{अव्य}	इति{अव्य}	सम्बन्धः,9.1	वाक्यकर्म_द्योतकः,5.1#वाक्यकर्म_द्योतकः,3.2#सम्बन्धः,9.1	NA	ऐसा	ऐसा
7.1	ह	7.1	ह	ह{अव्य}	ह{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	ह	ह
8.1	स्म	11.1	स्म	स्म{अव्य}	स्म{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	NA	स्म	स्म
9.1	आहुः	10.1	आहुः	ब्रू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}	ब्रू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}	अभिहित_कर्ता,10.2	अभिहित_कर्ता,10.2	KP	कहते_हैं	कहते_हैं
10.1	आत्रेय-	9.1	आत्रेय-आदयः	आत्रेय	आत्रेय	बहुव्रीहिः,10.2	बहुव्रीहिः,10.2	CP		
10.2	आदयः	9.2	--	आदि{पुं;1;बहु}/आदि{स्त्री;1;बहु}/अद्2{णिजन्त;कर्तरि;लङ्;म;एक;परस्मैपदी;अदादिः}/आदि{पुं;8;बहु}/आदि{स्त्री;8;बहु}	आदि{पुं;1;बहु}	कर्ता,9.1	कर्ता,9.1	N1		
11.1	महा-	8.1	महा-ऋषयः	महत्	महत्	कर्मधारयः,11.2	कर्मधारयः,11.2	CP	महा-	महा-
11.2	ऋषयः	8.2	--	ऋषि{पुं;1;बहु}/ऋषि{पुं;8;बहु}	ऋषि{पुं;1;बहु}	विशेषणम्,10.2	विशेषणम्,10.2#कर्ता,9.1	N1	ऋषि	ऋषि
12.1	.	12.1	.	-	-	-	-	FS	-	-
