sentence,gold
रागआदिरोगान् सततअनुषक्तान् अशेषकायप्रसृतान् अशेषान् औत्सुक्यमोहअरतिदान् जघान (यः) .,"{""tokens"": [""राग"", ""आदि"", ""रोगान्"", ""सतत"", ""अनुषक्तान्"", ""अ"", ""शेष"", ""काय"", ""प्रसृतान्"", ""अ"", ""शेषान्"", ""औत्सुक्य"", ""मोह"", ""अ"", ""रति"", ""दान्"", ""जघान"", ""(यः)"", "".""], ""compounds"": ""1\tराग-\tराग-आदि-रोगान्\t2\tComp3\t_\tबहुव्रीहिः\n2\tआदि-\t--\t3\tComp3\t_\tकर्मधारयः\n3\tरोगान्\t--\t20\tComp3\t_\tComp_root\n4\tसतत-\tसतत-अनुषक्तान्\t5\tComp2\t_\tकर्मधारयः\n5\tअनुषक्तान्\t--\t20\tComp2\t_\tComp_root\n6\tअ-\tअ-शेष-काय-प्रसृतान्\t7\tComp4\t_\tनञ्-तत्पुरुषः\n7\tशेष-\t--\t8\tComp4\t_\tकर्मधारयः\n8\tकाय-\t--\t9\tComp4\t_\tसप्तमी-तत्पुरुषः\n9\tप्रसृतान्\t--\t20\tComp4\t_\tComp_root\n10\tअ-\tअ-शेषान्\t11\tComp2\t_\tअस्त्यर्थ-मध्यमपदलोपी(नञ्)-बहुव्रीहिः\n11\tशेषान्\t--\t20\tComp2\t_\tComp_root\n12\tऔत्सुक्य-\tऔत्सुक्य-मोह-अरति-दान्\t13\tComp4\t_\tइतरेतर-द्वन्द्वः\n13\tमोह-\t--\t14\tComp4\t_\tइतरेतर-द्वन्द्वः\n14\tअ-\t--\t15\tComp4\t_\tनञ्-तत्पुरुषः\n15\tरति-\t--\t16\tComp4\t_\tComp_root\n16\tदान्\t--\t20\tComp4\t_\tविशेषणम्\n17\tजघान\tजघान\t20\tCompNo\t_\tNo_rel\n18\t(यः)\t(यः)\t20\tCompNo\t_\tNo_rel\n19\t.\t.\t20\tCompNo\t_\tNo_rel\n20\tDUMMY\t_\t0\tCompNo\t_\troot ""}"
अपूर्ववैद्याय नमः अस्तु तस्मै .,"{""tokens"": [""अ"", ""पूर्व"", ""वैद्याय"", ""नमः"", ""अस्तु"", ""तस्मै"", "".""], ""compounds"": ""1\tअ-\tअ-पूर्व-वैद्याय\t2\tComp3\t_\tअस्त्यर्थ-मध्यमपदलोपी(नञ्)-बहुव्रीहिः\n2\tपूर्व-\t--\t3\tComp3\t_\tकर्मधारयः\n3\tवैद्याय\t--\t8\tComp3\t_\tComp_root\n4\tनमः\tनमः\t8\tCompNo\t_\tNo_rel\n5\tअस्तु\tअस्तु\t8\tCompNo\t_\tNo_rel\n6\tतस्मै\tतस्मै\t8\tCompNo\t_\tNo_rel\n7\t.\t.\t8\tCompNo\t_\tNo_rel\n8\tDUMMY\t_\t0\tCompNo\t_\troot""}"
अथ अतः आयुष्कामीयम् अध्यायम् व्याख्यास्यामः .,"{""tokens"": [""अथ"", ""अतः"", ""आयुष्कामीयम्"", ""अध्यायम्"", ""व्याख्यास्यामः"", "".""], ""compounds"": ""1\tअथ\tअथ\t7\tCompNo\t_\tNo_rel\n2\tअतः\tअतः\t7\tCompNo\t_\tNo_rel\n3\tआयुष्कामीयम्\tआयुष्कामीयम्\t7\tCompNo\t_\tNo_rel\n4\tअध्यायम्\tअध्यायम्\t7\tCompNo\t_\tNo_rel\n5\tव्याख्यास्यामः\tव्याख्यास्यामः\t7\tCompNo\t_\tNo_rel\n6\t.\t.\t7\tCompNo\t_\tNo_rel\n7\tDUMMY\t_\t0\tCompNo\t_\troot""}"
इति ह स्म आहुः आत्रेयआदयः महाऋषयः .,"{""tokens"": [""इति"", ""ह"", ""स्म"", ""आहुः"", ""आत्रेय"", ""आदयः"", ""महा"", ""ऋषयः"", "".""], ""compounds"": ""1\tइति\tइति\t10\tCompNo\t_\tNo_rel\n2\tह\tह\t10\tCompNo\t_\tNo_rel\n3\tस्म\tस्म\t10\tCompNo\t_\tNo_rel\n4\tआहुः\tआहुः\t10\tCompNo\t_\tNo_rel\n5\tआत्रेय-\tआत्रेय-आदयः\t6\tComp2\t_\tबहुव्रीहिः\n6\tआदयः\t--\t10\tComp2\t_\tComp_root\n7\tमहा-\tमहा-ऋषयः\t8\tComp2\t_\tकर्मधारयः\n8\tऋषयः\t--\t10\tComp2\t_\tComp_root\n9\t.\t.\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
आयुः कामयमानेन धर्मअर्थसुखसाधनम् आयुःवेदउपदेशेषु विधेयः परमआदरः .,"{""tokens"": [""आयुः"", ""कामयमानेन"", ""धर्म"", ""अर्थ"", ""सुख"", ""साधनम्"", ""आयुः"", ""वेद"", ""उपदेशेषु"", ""विधेयः"", ""परम"", ""आदरः"", "".""], ""compounds"": ""1\tआयुः\tआयुः\t14\tCompNo\t_\tNo_rel\n2\tकामयमानेन\tकामयमानेन\t14\tCompNo\t_\tNo_rel\n3\tधर्म-\tधर्म-अर्थ-सुख-साधनम्\t4\tComp4\t_\tद्वन्द्वः\n4\tअर्थ-\t--\t5\tComp4\t_\tद्वन्द्वः\n5\tसुख-\t--\t6\tComp4\t_\tषष्ठी-तत्पुरुषः\n6\tसाधनम्\t--\t14\tComp4\t_\tComp_root\n7\tआयुः-\tआयुः-वेद-उपदेशेषु\t8\tComp3\t_\tषष्ठी-तत्पुरुषः\n8\tवेद-\t--\t9\tComp3\t_\tषष्ठी-तत्पुरुषः\n9\tउपदेशेषु\t--\t14\tComp3\t_\tComp_root\n10\tविधेयः\tविधेयः\t14\tCompNo\t_\tNo_rel\n11\tपरम-\tपरम-आदरः\t12\tComp2\t_\tकर्मधारयः\n12\tआदरः\t--\t14\tComp2\t_\tComp_root\n13\t.\t.\t14\tCompNo\t_\tNo_rel\n14\tDUMMY\t_\t0\tCompNo\t_\troot""}"
ब्रह्मा स्मृत्वा आयुषः वेदम् प्रजापतिम् अजिग्रहत् .,"{""tokens"": [""ब्रह्मा"", ""स्मृत्वा"", ""आयुषः"", ""वेदम्"", ""प्रजापतिम्"", ""अजिग्रहत्"", "".""], ""compounds"": ""1\tब्रह्मा\tब्रह्मा\t8\tCompNo\t_\tNo_rel\n2\tस्मृत्वा\tस्मृत्वा\t8\tCompNo\t_\tNo_rel\n3\tआयुषः\tआयुषः\t8\tCompNo\t_\tNo_rel\n4\tवेदम्\tवेदम्\t8\tCompNo\t_\tNo_rel\n5\tप्रजापतिम्\tप्रजापतिम्\t8\tCompNo\t_\tNo_rel\n6\tअजिग्रहत्\tअजिग्रहत्\t8\tCompNo\t_\tNo_rel\n7\t.\t.\t8\tCompNo\t_\tNo_rel\n8\tDUMMY\t_\t0\tCompNo\t_\troot""}"
सः अश्विनौ (अजिग्रहत्) .,"{""tokens"": [""सः"", ""अश्विनौ"", ""(अजिग्रहत्)"", "".""], ""compounds"": ""1\tसः\tसः\t5\tCompNo\t_\tNo_rel\n2\tअश्विनौ\tअश्विनौ\t5\tCompNo\t_\tNo_rel\n3\t(अजिग्रहत्)\t(अजिग्रहत्)\t5\tCompNo\t_\tNo_rel\n4\t.\t.\t5\tCompNo\t_\tNo_rel\n5\tDUMMY\t_\t0\tCompNo\t_\troot""}"
तौ सहस्रअक्षम् (अजिग्रहताम्) .,"{""tokens"": [""तौ"", ""सहस्र"", ""अक्षम्"", ""(अजिग्रहताम्)"", "".""], ""compounds"": ""1\tतौ\tतौ\t6\tCompNo\t_\tNo_rel\n2\tसहस्र-\tसहस्र-अक्षम्\t3\tComp2\t_\tषष्ठ्यर्थ-बहुव्रीहिः\n3\tअक्षम्\t--\t6\tComp2\t_\tComp_root\n4\t(अजिग्रहताम्)\t(अजिग्रहताम्)\t6\tCompNo\t_\tNo_rel\n5\t.\t.\t6\tCompNo\t_\tNo_rel\n6\tDUMMY\t_\t0\tCompNo\t_\troot""}"
सः अत्रिपुत्रआदिकान् मुनीन् (अजिग्रहत्) .,"{""tokens"": [""सः"", ""अत्रि"", ""पुत्र"", ""आदिकान्"", ""मुनीन्"", ""(अजिग्रहत्)"", "".""], ""compounds"": ""1\tसः\tसः\t8\tCompNo\t_\tNo_rel\n2\tअत्रि-\tअत्रि-पुत्र-आदिकान्\t3\tComp3\t_\tषष्ठी-तत्पुरुषः\n3\tपुत्र-\t--\t4\tComp3\t_\tबहुव्रीहिः\n4\tआदिकान्\t--\t8\tComp3\t_\tComp_root\n5\tमुनीन्\tमुनीन्\t8\tCompNo\t_\tNo_rel\n6\t(अजिग्रहत्)\t(अजिग्रहत्)\t8\tCompNo\t_\tNo_rel\n7\t.\t.\t8\tCompNo\t_\tNo_rel\n8\tDUMMY\t_\t0\tCompNo\t_\troot""}"
ते अग्निवेशआदिकान् (अजिग्रहन्) .,"{""tokens"": [""ते"", ""अग्निवेश"", ""आदिकान्"", ""(अजिग्रहन्)"", "".""], ""compounds"": ""1\tते\tते\t6\tCompNo\t_\tNo_rel\n2\tअग्निवेश-\tअग्निवेश-आदिकान्\t3\tComp2\t_\tबहुव्रीहिः\n3\tआदिकान्\t--\t6\tComp2\t_\tComp_root\n4\t(अजिग्रहन्)\t(अजिग्रहन्)\t6\tCompNo\t_\tNo_rel\n5\t.\t.\t6\tCompNo\t_\tNo_rel\n6\tDUMMY\t_\t0\tCompNo\t_\troot""}"
