index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	अथ		अथ	अथ{अव्य}	अथ{अव्य}	सम्बन्धः,4.1	सम्बन्धः,8.1#सम्बन्धः,4.1#सम्बन्धः,3.2	NA	ऐसा	ऐसा
2.1	अतः		अतः	अतः{अव्य}	अतः{अव्य}	सम्बन्धः,4.1	कार्य_द्योतकः,4.1#कार्य_द्योतकः,3.2#सम्बन्धः,4.1	NA	अतः	अतः
3.1	ऋतुचर्या-		ऋतुचर्या-अध्यायम्	ऋतुचर्या	ऋतुचर्या	कर्मधारयः,3.2	कर्मधारयः,3.2	CP	ऋतुचर्य-	ऋतुचर्य-
3.2	अध्यायम्		--	ध्यै1{कर्तरि;लङ्;उ;एक;परस्मैपदी;भ्वादिः}/अध्याय{पुं;2;एक(अधि_इ4;घञ्;अदादिः)}/अध्याय{नपुं;1;एक}/अध्याय{नपुं;2;एक}	अध्याय{पुं;2;एक(अधि_इ4;घञ्;अदादिः)}	कर्म,4.1	मुख्यकर्म,8.1#कर्म,4.1#वाक्यकर्म,8.1	N2	अध्याय	अध्याय
4.1	व्याख्यास्यामः		व्याख्यास्यामः	वि_आङ्_ख्या1{कर्तरि;लृट्;उ;बहु;परस्मैपदी;अदादिः}/वि_आङ्_चक्ष्1{कर्तरि{लृट्;उ;बहु;आत्मनेपदी;अदादिः}	वि_आङ्_ख्या1{कर्तरि;लृट्;उ;बहु;परस्मैपदी;अदादिः}	-	वाक्यकर्म,8.1	KP	वि_आङ्_ख्या1एगा	वि_आङ्_ख्या1एगा
5.1	इति		इति	इति{अव्य}	इति{अव्य}	सम्बन्धः,8.1	वाक्यकर्म_द्योतकः,4.1#सम्बन्धः,8.1	NA	ऐसा	ऐसा
6.1	ह		ह	ह{अव्य}	ह{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	ह	ह
7.1	स्म		स्म	स्म{अव्य}	स्म{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	स्म	स्म
8.1	आहुः		आहुः	ब्रू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}	ब्रू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}	अभिहित_कर्ता,9.2	-	KP	कहते_हैं	कहते_हैं
9.1	आत्रेय-		आत्रेय-आदयः	आत्रेय	आत्रेय	बहुव्रीहिः,9.2	बहुव्रीहिः,9.2	CP		
9.2	आदयः		--	आदि{पुं;1;बहु}/आदि{स्त्री;1;बहु}/अद्2{णिजन्त;कर्तरि;लङ्;म;एक;परस्मैपदी;अदादिः}/आदि{पुं;8;बहु}/आदि{स्त्री;8;बहु}	आदि{पुं;1;बहु}	कर्ता,8.1	कर्ता,8.1	N1		
10.1	महा-		महा-ऋषयः	महत्	महत्	कर्मधारयः,10.2	कर्मधारयः,10.2	CP	महा-	महा-
10.2	ऋषयः		--	ऋषि{पुं;1;बहु}/ऋषि{पुं;8;बहु}	ऋषि{पुं;1;बहु}	विशेषणम्,9.2	विशेषणम्,9.2#कर्ता,8.1	N1	ऋषि	ऋषि
